stat_id;date;value;method;
PI_MEMBERS_TOTAL;01.09.2018;829.0;None;
PI_MEMBERS_TOTAL;02.09.2018;829.0;None;
PI_MEMBERS_TOTAL;03.09.2018;829.0;None;
PI_MEMBERS_TOTAL;04.09.2018;831.0;None;
PI_MEMBERS_TOTAL;05.09.2018;831.0;None;
PI_MEMBERS_TOTAL;06.09.2018;828.0;None;
PI_MEMBERS_TOTAL;07.09.2018;830.0;None;
PI_MEMBERS_TOTAL;08.09.2018;831.0;None;
PI_MEMBERS_TOTAL;09.09.2018;831.0;None;
PI_MEMBERS_TOTAL;10.09.2018;831.0;None;
PI_MEMBERS_TOTAL;11.09.2018;831.0;None;
PI_MEMBERS_TOTAL;12.09.2018;831.0;None;
PI_MEMBERS_TOTAL;13.09.2018;832.0;None;
PI_MEMBERS_TOTAL;14.09.2018;832.0;None;
PI_MEMBERS_TOTAL;15.09.2018;832.0;None;
PI_MEMBERS_TOTAL;16.09.2018;829.0;None;
PI_MEMBERS_TOTAL;17.09.2018;828.0;None;
PI_MEMBERS_TOTAL;18.09.2018;827.0;None;
PI_MEMBERS_TOTAL;19.09.2018;829.0;None;
PI_MEMBERS_TOTAL;20.09.2018;829.0;None;
PI_MEMBERS_TOTAL;21.09.2018;829.0;None;
PI_MEMBERS_TOTAL;22.09.2018;829.0;None;
PI_MEMBERS_TOTAL;23.09.2018;827.0;None;
PI_MEMBERS_TOTAL;24.09.2018;828.0;None;
PI_MEMBERS_TOTAL;25.09.2018;828.0;None;
PI_MEMBERS_TOTAL;26.09.2018;830.0;None;
PI_MEMBERS_TOTAL;27.09.2018;830.0;None;
PI_MEMBERS_TOTAL;28.09.2018;830.0;None;
PI_MEMBERS_TOTAL;29.09.2018;830.0;None;
PI_MEMBERS_TOTAL;30.09.2018;829.0;None;
PI_MEMBERS_TOTAL;01.10.2018;829.0;None;
PI_MEMBERS_TOTAL;02.10.2018;830.0;None;
PI_MEMBERS_TOTAL;03.10.2018;830.0;None;
PI_MEMBERS_TOTAL;04.10.2018;835.0;None;
PI_MEMBERS_TOTAL;05.10.2018;835.0;None;
PI_MEMBERS_TOTAL;06.10.2018;835.0;None;
PI_MEMBERS_TOTAL;07.10.2018;835.0;None;
PI_MEMBERS_TOTAL;08.10.2018;835.0;None;
PI_MEMBERS_TOTAL;09.10.2018;835.0;None;
PI_MEMBERS_TOTAL;10.10.2018;837.0;None;
PI_MEMBERS_TOTAL;11.10.2018;837.0;None;
PI_MEMBERS_TOTAL;12.10.2018;837.0;None;
PI_MEMBERS_TOTAL;13.10.2018;839.0;None;
PI_MEMBERS_TOTAL;14.10.2018;839.0;None;
PI_MEMBERS_TOTAL;15.10.2018;839.0;None;
PI_MEMBERS_TOTAL;16.10.2018;839.0;None;
PI_MEMBERS_TOTAL;17.10.2018;843.0;None;
PI_MEMBERS_TOTAL;18.10.2018;843.0;None;
PI_MEMBERS_TOTAL;19.10.2018;843.0;None;
PI_MEMBERS_TOTAL;20.10.2018;844.0;None;
PI_MEMBERS_TOTAL;21.10.2018;844.0;None;
PI_MEMBERS_TOTAL;22.10.2018;844.0;None;
PI_MEMBERS_TOTAL;23.10.2018;844.0;None;
PI_MEMBERS_TOTAL;24.10.2018;844.0;None;
PI_MEMBERS_TOTAL;25.10.2018;849.0;None;
PI_MEMBERS_TOTAL;26.10.2018;849.0;None;
PI_MEMBERS_TOTAL;27.10.2018;850.0;None;
PI_MEMBERS_TOTAL;28.10.2018;850.0;None;
PI_MEMBERS_TOTAL;29.10.2018;850.0;None;
PI_MEMBERS_TOTAL;30.10.2018;849.0;None;
PI_MEMBERS_TOTAL;31.10.2018;849.0;None;
