stat_id;date;value;method;
PP_APPROVED_AGE;15.07.2019;2.0;None;
PP_APPROVED_AGE;16.07.2019;2.0;None;
PP_APPROVED_AGE;17.07.2019;3.0;None;
PP_APPROVED_AGE;18.07.2019;4.0;None;
PP_APPROVED_AGE;19.07.2019;7.0;None;
PP_APPROVED_AGE;20.07.2019;6.0;None;
PP_APPROVED_AGE;21.07.2019;7.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;22.07.2019;1.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;23.07.2019;1.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;24.07.2019;1.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;25.07.2019;1.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;26.07.2019;2.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;27.07.2019;3.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;28.07.2019;4.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;29.07.2019;0.75;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;30.07.2019;1.75;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;19.08.2019;4.33;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;20.08.2019;7.43;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;21.08.2019;6.78;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;22.08.2019;4.5;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;23.08.2019;4.5;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;24.08.2019;5.5;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;25.08.2019;6.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;26.08.2019;5.12;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;27.08.2019;4.15;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;28.08.2019;2.76;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;29.08.2019;9.0;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;30.08.2019;2.73;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;31.08.2019;3.73;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;01.09.2019;4.15;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_AGE;02.09.2019;4.15;Prumerne stari zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
