stat_id;date;value;method;
PP_TOAPPROVE_AGE;29.07.2019;60.19;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;30.07.2019;60.81;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;19.08.2019;103.12;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;20.08.2019;103.88;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;21.08.2019;110.5;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;22.08.2019;94.06;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;23.08.2019;95.0;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;24.08.2019;96.0;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;25.08.2019;86.63;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;26.08.2019;92.06;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;27.08.2019;59.11;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;28.08.2019;69.71;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;29.08.2019;65.35;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;30.08.2019;68.32;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;31.08.2019;69.32;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;01.09.2019;70.04;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_AGE;02.09.2019;66.35;Prumerne stari zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
