stat_id;date;value;method;
PP_TOAPPROVE_COUNT;29.07.2019;27.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;30.07.2019;27.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;19.08.2019;17.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;20.08.2019;17.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;21.08.2019;16.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;22.08.2019;17.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;23.08.2019;17.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;24.08.2019;17.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;25.08.2019;19.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;26.08.2019;18.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;27.08.2019;28.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;28.08.2019;24.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;29.08.2019;26.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;30.08.2019;25.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;31.08.2019;25.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;01.09.2019;25.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;02.09.2019;26.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;03.09.2019;21.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;04.09.2019;25.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;05.09.2019;35.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;06.09.2019;23.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;07.09.2019;20.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;08.09.2019;23.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;09.09.2019;26.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;10.09.2019;27.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;11.09.2019;22.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;12.09.2019;20.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;13.09.2019;27.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;14.09.2019;28.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;15.09.2019;32.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;16.09.2019;37.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
PP_TOAPPROVE_COUNT;17.09.2019;39.0;Pocet zadosti o proplaceni ve stavu Ke schvaleni hospodarem, REST dotazem do piroplaceni;
