stat_id;date;value;method;
REDMINE_AO_OPENTICKETS_AGE;29.07.2019;254.75;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;30.07.2019;255.75;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;19.08.2019;281.72;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;20.08.2019;270.65;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;21.08.2019;271.65;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;22.08.2019;270.16;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;23.08.2019;271.16;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;24.08.2019;272.16;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;25.08.2019;270.64;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;26.08.2019;266.8;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;27.08.2019;267.8;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
REDMINE_AO_OPENTICKETS_AGE;28.08.2019;267.8;Prumerne stari otevrenych podani slozky Administrativni odbor, REST dotazem do Redmine;
