stat_id;date;value;method;
REDMINE_KANCL_OPENTICKETS_AGE;29.07.2019;414.51;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;30.07.2019;415.51;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;19.08.2019;435.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;20.08.2019;437.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;21.08.2019;438.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;22.08.2019;439.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;23.08.2019;440.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;24.08.2019;441.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;25.08.2019;442.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;26.08.2019;443.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;27.08.2019;444.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;28.08.2019;445.3;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;29.08.2019;444.98;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;30.08.2019;444.7;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;31.08.2019;445.7;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;01.09.2019;446.7;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;02.09.2019;446.7;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;03.09.2019;447.66;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;04.09.2019;447.35;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;05.09.2019;448.35;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;06.09.2019;448.03;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;07.09.2019;449.03;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;08.09.2019;450.03;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;09.09.2019;451.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;10.09.2019;452.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;11.09.2019;453.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;12.09.2019;454.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;13.09.2019;455.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;14.09.2019;456.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;15.09.2019;457.02;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;16.09.2019;459.34;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;17.09.2019;460.34;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;18.09.2019;461.34;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
REDMINE_KANCL_OPENTICKETS_AGE;19.09.2019;462.34;Prumerne stari otevrenych podani slozky Kancelar strany, REST dotazem do Redmine;
