stat_id;date;value;method;
REDMINE_KK_NEWOPENTICKETS_AGE;02.09.2019;199.67;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;03.09.2019;171.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;04.09.2019;172.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;05.09.2019;173.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;06.09.2019;174.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;07.09.2019;175.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;08.09.2019;176.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;09.09.2019;177.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;10.09.2019;178.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;11.09.2019;179.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;12.09.2019;180.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;13.09.2019;181.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;14.09.2019;182.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;15.09.2019;183.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;16.09.2019;184.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;17.09.2019;185.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;18.09.2019;186.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;19.09.2019;187.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;20.09.2019;188.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;21.09.2019;189.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;22.09.2019;190.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;23.09.2019;191.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;24.09.2019;192.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;25.09.2019;193.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;26.09.2019;194.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;27.09.2019;195.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;28.09.2019;196.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;29.09.2019;197.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;30.09.2019;198.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;01.10.2019;199.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;02.10.2019;200.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
REDMINE_KK_NEWOPENTICKETS_AGE;03.10.2019;201.86;Prumerne stari otevrenych podani (po 1.1.2019) slozky Kontrolni komise, REST dotazem do Redmine;
