stat_id;date;value;method;
REDMINE_MO_NEWOPENTICKETS_AGE;02.09.2019;68.12;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;03.09.2019;61.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;04.09.2019;62.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;05.09.2019;63.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;06.09.2019;58.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;07.09.2019;59.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;08.09.2019;60.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;09.09.2019;61.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;10.09.2019;62.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;11.09.2019;63.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;12.09.2019;64.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;13.09.2019;65.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;14.09.2019;66.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;15.09.2019;67.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;16.09.2019;68.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;17.09.2019;69.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;18.09.2019;70.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;19.09.2019;64.55;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;20.09.2019;60.08;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;21.09.2019;61.08;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_NEWOPENTICKETS_AGE;22.09.2019;62.08;Prumerne stari otevrenych podani (po 1.1.2019) slozky Medialni odbor, REST dotazem do Redmine;
