stat_id;date;value;method;
REDMINE_MO_OPENTICKETS_AGE;29.07.2019;463.78;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;30.07.2019;464.78;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;19.08.2019;323.94;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;20.08.2019;325.94;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;21.08.2019;326.94;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;22.08.2019;327.94;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;23.08.2019;328.94;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;24.08.2019;349.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;25.08.2019;350.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;26.08.2019;351.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;27.08.2019;352.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;28.08.2019;353.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;29.08.2019;354.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;30.08.2019;355.44;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;31.08.2019;335.53;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;01.09.2019;336.53;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;02.09.2019;336.53;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;03.09.2019;318.78;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;04.09.2019;319.78;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;05.09.2019;320.78;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;06.09.2019;304.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;07.09.2019;305.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;08.09.2019;306.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;09.09.2019;307.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;10.09.2019;308.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;11.09.2019;309.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;12.09.2019;310.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;13.09.2019;311.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;14.09.2019;312.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;15.09.2019;313.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;16.09.2019;314.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;17.09.2019;315.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;18.09.2019;316.84;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
REDMINE_MO_OPENTICKETS_AGE;19.09.2019;301.95;Prumerne stari otevrenych podani slozky Medialni odbor, REST dotazem do Redmine;
