stat_id;date;value;method;
REDMINE_PO_NEWOPENTICKETS_AGE;02.09.2019;42.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;03.09.2019;34.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;04.09.2019;44.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;05.09.2019;45.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;06.09.2019;46.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;07.09.2019;47.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;08.09.2019;48.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;09.09.2019;49.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;10.09.2019;50.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;11.09.2019;51.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;12.09.2019;52.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;13.09.2019;53.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;14.09.2019;54.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;15.09.2019;55.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;16.09.2019;56.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;17.09.2019;57.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;18.09.2019;58.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;19.09.2019;59.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;20.09.2019;60.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;21.09.2019;61.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
REDMINE_PO_NEWOPENTICKETS_AGE;22.09.2019;62.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Personalni odbor, REST dotazem do Redmine;
