stat_id;date;value;method;
REDMINE_RP_NEWOPENTICKETS_AGE;02.09.2019;82.97;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;03.09.2019;83.97;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;04.09.2019;84.97;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;05.09.2019;90.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;06.09.2019;91.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;07.09.2019;89.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;08.09.2019;90.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;09.09.2019;91.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;10.09.2019;92.44;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;11.09.2019;96.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;12.09.2019;97.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;13.09.2019;95.28;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;14.09.2019;96.28;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;15.09.2019;97.28;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;16.09.2019;95.62;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;17.09.2019;96.62;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;18.09.2019;95.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;19.09.2019;96.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;20.09.2019;97.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;21.09.2019;98.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;22.09.2019;99.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;23.09.2019;95.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_NEWOPENTICKETS_AGE;24.09.2019;96.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikove predsednictvo, REST dotazem do Redmine;
