stat_id;date;value;method;
REDMINE_RP_OPENTICKETS_AGE;29.07.2019;184.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;30.07.2019;185.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;19.08.2019;208.76;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;20.08.2019;206.73;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;21.08.2019;203.83;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;22.08.2019;204.83;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;23.08.2019;205.83;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;24.08.2019;206.83;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;25.08.2019;207.83;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;26.08.2019;211.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;27.08.2019;212.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;28.08.2019;213.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;29.08.2019;214.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;30.08.2019;215.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;31.08.2019;216.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;01.09.2019;217.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
REDMINE_RP_OPENTICKETS_AGE;02.09.2019;217.92;Prumerne stari otevrenych podani slozky Republikove predsednictvo, REST dotazem do Redmine;
