stat_id;date;value;method;
REDMINE_RV_NEWOPENTICKETS_AGE;02.09.2019;59.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;03.09.2019;60.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;04.09.2019;61.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;05.09.2019;62.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;06.09.2019;63.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;07.09.2019;64.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;08.09.2019;65.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;09.09.2019;49.75;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;10.09.2019;41.75;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;11.09.2019;42.75;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;12.09.2019;43.75;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;13.09.2019;44.75;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;14.09.2019;36.6;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;15.09.2019;37.6;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;16.09.2019;38.6;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;17.09.2019;39.6;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;18.09.2019;48.75;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;19.09.2019;39.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;20.09.2019;40.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;21.09.2019;41.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;22.09.2019;42.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;23.09.2019;43.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;24.09.2019;44.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;25.09.2019;45.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;26.09.2019;46.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;27.09.2019;47.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;28.09.2019;48.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;29.09.2019;49.8;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
REDMINE_RV_NEWOPENTICKETS_AGE;30.09.2019;59.5;Prumerne stari otevrenych podani (po 1.1.2019) slozky Republikovy vybor, REST dotazem do Redmine;
