stat_id;date;value;method;
REDMINE_TO_NEWOPENTICKETS_COUNT;02.09.2019;83.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;03.09.2019;85.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;04.09.2019;87.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;05.09.2019;36.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;06.09.2019;37.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;07.09.2019;37.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;08.09.2019;40.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;09.09.2019;42.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;10.09.2019;44.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;11.09.2019;44.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;12.09.2019;47.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;13.09.2019;47.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;14.09.2019;47.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;15.09.2019;46.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;16.09.2019;47.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;17.09.2019;48.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;18.09.2019;48.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;19.09.2019;44.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;20.09.2019;46.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;21.09.2019;47.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;22.09.2019;44.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;23.09.2019;43.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;24.09.2019;42.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;25.09.2019;42.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;26.09.2019;42.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;27.09.2019;43.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;28.09.2019;43.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_COUNT;29.09.2019;43.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
