stat_id;date;value;method;
REDMINE_ZO_NEWOPENTICKETS_AGE;02.09.2019;71.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;03.09.2019;62.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;04.09.2019;63.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;05.09.2019;56.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;06.09.2019;57.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;07.09.2019;58.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;08.09.2019;59.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;09.09.2019;60.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;10.09.2019;61.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;11.09.2019;62.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;12.09.2019;63.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;13.09.2019;64.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;14.09.2019;65.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;15.09.2019;66.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;16.09.2019;67.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;17.09.2019;68.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;18.09.2019;77.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;19.09.2019;78.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;20.09.2019;79.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;21.09.2019;80.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;22.09.2019;81.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;23.09.2019;82.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;24.09.2019;83.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;25.09.2019;84.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
REDMINE_ZO_NEWOPENTICKETS_AGE;26.09.2019;85.0;Prumerne stari otevrenych podani (po 1.1.2019) slozky Zahranicni odbor, REST dotazem do Redmine;
