stat_id;date;value;method;
YOUTUBE_ANO2011_VIEWS;05.02.2019;6834240.0;None;
YOUTUBE_ANO2011_VIEWS;06.02.2019;6837850.0;None;
YOUTUBE_ANO2011_VIEWS;07.02.2019;6840650.0;None;
YOUTUBE_ANO2011_VIEWS;08.02.2019;6842820.0;None;
YOUTUBE_ANO2011_VIEWS;09.02.2019;6845230.0;None;
YOUTUBE_ANO2011_VIEWS;10.02.2019;6847340.0;None;
YOUTUBE_ANO2011_VIEWS;11.02.2019;6849350.0;None;
YOUTUBE_ANO2011_VIEWS;12.02.2019;6851320.0;None;
YOUTUBE_ANO2011_VIEWS;13.02.2019;6852870.0;None;
YOUTUBE_ANO2011_VIEWS;14.02.2019;6854200.0;None;
YOUTUBE_ANO2011_VIEWS;15.02.2019;6855380.0;None;
YOUTUBE_ANO2011_VIEWS;16.02.2019;6856480.0;None;
YOUTUBE_ANO2011_VIEWS;17.02.2019;6857560.0;None;
YOUTUBE_ANO2011_VIEWS;18.02.2019;6858660.0;None;
YOUTUBE_ANO2011_VIEWS;19.02.2019;6860040.0;None;
YOUTUBE_ANO2011_VIEWS;20.02.2019;6861410.0;None;
YOUTUBE_ANO2011_VIEWS;21.02.2019;6862540.0;None;
YOUTUBE_ANO2011_VIEWS;22.02.2019;6863670.0;None;
YOUTUBE_ANO2011_VIEWS;23.02.2019;6865340.0;None;
YOUTUBE_ANO2011_VIEWS;24.02.2019;6867930.0;None;
YOUTUBE_ANO2011_VIEWS;25.02.2019;6869570.0;None;
YOUTUBE_ANO2011_VIEWS;26.02.2019;6871350.0;None;
YOUTUBE_ANO2011_VIEWS;27.02.2019;6872960.0;None;
YOUTUBE_ANO2011_VIEWS;28.02.2019;6874330.0;None;
YOUTUBE_ANO2011_VIEWS;01.03.2019;6875710.0;None;
YOUTUBE_ANO2011_VIEWS;02.03.2019;6878190.0;None;
YOUTUBE_ANO2011_VIEWS;03.03.2019;6880050.0;None;
YOUTUBE_ANO2011_VIEWS;04.03.2019;6881860.0;None;
YOUTUBE_ANO2011_VIEWS;05.03.2019;6883730.0;None;
YOUTUBE_ANO2011_VIEWS;06.03.2019;6885230.0;None;
YOUTUBE_ANO2011_VIEWS;07.03.2019;6886440.0;None;
YOUTUBE_ANO2011_VIEWS;08.03.2019;6888990.0;None;
YOUTUBE_ANO2011_VIEWS;09.03.2019;6891490.0;None;
YOUTUBE_ANO2011_VIEWS;10.03.2019;6893700.0;None;
YOUTUBE_ANO2011_VIEWS;11.03.2019;6895220.0;None;
YOUTUBE_ANO2011_VIEWS;12.03.2019;6897310.0;None;
YOUTUBE_ANO2011_VIEWS;13.03.2019;6899420.0;None;
YOUTUBE_ANO2011_VIEWS;14.03.2019;6901360.0;None;
YOUTUBE_ANO2011_VIEWS;15.03.2019;6904040.0;None;
YOUTUBE_ANO2011_VIEWS;16.03.2019;6906970.0;None;
YOUTUBE_ANO2011_VIEWS;17.03.2019;6909200.0;None;
YOUTUBE_ANO2011_VIEWS;18.03.2019;6911580.0;None;
YOUTUBE_ANO2011_VIEWS;19.03.2019;6914090.0;None;
YOUTUBE_ANO2011_VIEWS;20.03.2019;6916830.0;None;
YOUTUBE_ANO2011_VIEWS;21.03.2019;6919310.0;None;
YOUTUBE_ANO2011_VIEWS;22.03.2019;6921000.0;None;
YOUTUBE_ANO2011_VIEWS;23.03.2019;6922490.0;None;
YOUTUBE_ANO2011_VIEWS;24.03.2019;6924160.0;None;
YOUTUBE_ANO2011_VIEWS;25.03.2019;6925900.0;None;
YOUTUBE_ANO2011_VIEWS;26.03.2019;6928180.0;None;
YOUTUBE_ANO2011_VIEWS;27.03.2019;6929980.0;None;
YOUTUBE_ANO2011_VIEWS;28.03.2019;6931570.0;None;
YOUTUBE_ANO2011_VIEWS;29.03.2019;6932820.0;None;
YOUTUBE_ANO2011_VIEWS;30.03.2019;6933930.0;None;
YOUTUBE_ANO2011_VIEWS;31.03.2019;6935180.0;None;
YOUTUBE_ANO2011_VIEWS;01.04.2019;6936300.0;None;
YOUTUBE_ANO2011_VIEWS;02.04.2019;6937730.0;None;
YOUTUBE_ANO2011_VIEWS;03.04.2019;6939290.0;None;
YOUTUBE_ANO2011_VIEWS;04.04.2019;6940970.0;None;
YOUTUBE_ANO2011_VIEWS;05.04.2019;6942810.0;None;
YOUTUBE_ANO2011_VIEWS;06.04.2019;6945000.0;None;
YOUTUBE_ANO2011_VIEWS;07.04.2019;6948110.0;None;
YOUTUBE_ANO2011_VIEWS;08.04.2019;6950590.0;None;
YOUTUBE_ANO2011_VIEWS;09.04.2019;6953620.0;None;
YOUTUBE_ANO2011_VIEWS;10.04.2019;6956700.0;None;
YOUTUBE_ANO2011_VIEWS;11.04.2019;6959380.0;None;
YOUTUBE_ANO2011_VIEWS;12.04.2019;6962170.0;None;
YOUTUBE_ANO2011_VIEWS;13.04.2019;6965420.0;None;
YOUTUBE_ANO2011_VIEWS;14.04.2019;6968120.0;None;
YOUTUBE_ANO2011_VIEWS;15.04.2019;6970610.0;None;
YOUTUBE_ANO2011_VIEWS;16.04.2019;6972840.0;None;
YOUTUBE_ANO2011_VIEWS;17.04.2019;6974790.0;None;
YOUTUBE_ANO2011_VIEWS;18.04.2019;6976070.0;None;
YOUTUBE_ANO2011_VIEWS;19.04.2019;6977690.0;None;
YOUTUBE_ANO2011_VIEWS;20.04.2019;6979090.0;None;
YOUTUBE_ANO2011_VIEWS;21.04.2019;6980300.0;None;
YOUTUBE_ANO2011_VIEWS;22.04.2019;6981580.0;None;
YOUTUBE_ANO2011_VIEWS;23.04.2019;6982850.0;None;
YOUTUBE_ANO2011_VIEWS;24.04.2019;6983670.0;None;
YOUTUBE_ANO2011_VIEWS;25.04.2019;6984410.0;None;
YOUTUBE_ANO2011_VIEWS;26.04.2019;6985070.0;None;
YOUTUBE_ANO2011_VIEWS;27.04.2019;6986420.0;None;
YOUTUBE_ANO2011_VIEWS;28.04.2019;6987900.0;None;
YOUTUBE_ANO2011_VIEWS;29.04.2019;6989020.0;None;
YOUTUBE_ANO2011_VIEWS;30.04.2019;6990110.0;None;
YOUTUBE_ANO2011_VIEWS;01.05.2019;6991500.0;None;
YOUTUBE_ANO2011_VIEWS;02.05.2019;6994120.0;None;
YOUTUBE_ANO2011_VIEWS;03.05.2019;6997200.0;None;
YOUTUBE_ANO2011_VIEWS;04.05.2019;7000090.0;None;
YOUTUBE_ANO2011_VIEWS;05.05.2019;7002800.0;None;
YOUTUBE_ANO2011_VIEWS;06.05.2019;7005450.0;None;
YOUTUBE_ANO2011_VIEWS;07.05.2019;7007720.0;None;
YOUTUBE_ANO2011_VIEWS;08.05.2019;7010180.0;None;
YOUTUBE_ANO2011_VIEWS;09.05.2019;7013620.0;None;
YOUTUBE_ANO2011_VIEWS;10.05.2019;7015810.0;None;
YOUTUBE_ANO2011_VIEWS;11.05.2019;7017580.0;None;
YOUTUBE_ANO2011_VIEWS;12.05.2019;7019810.0;None;
YOUTUBE_ANO2011_VIEWS;13.05.2019;7021540.0;None;
YOUTUBE_ANO2011_VIEWS;14.05.2019;7024810.0;None;
YOUTUBE_ANO2011_VIEWS;15.05.2019;7027630.0;None;
YOUTUBE_ANO2011_VIEWS;16.05.2019;7029990.0;None;
YOUTUBE_ANO2011_VIEWS;17.05.2019;7031660.0;None;
YOUTUBE_ANO2011_VIEWS;18.05.2019;7032960.0;None;
YOUTUBE_ANO2011_VIEWS;19.05.2019;7034260.0;None;
YOUTUBE_ANO2011_VIEWS;20.05.2019;7035740.0;None;
YOUTUBE_ANO2011_VIEWS;21.05.2019;7037670.0;None;
YOUTUBE_ANO2011_VIEWS;22.05.2019;7041350.0;None;
YOUTUBE_ANO2011_VIEWS;23.05.2019;7045700.0;None;
YOUTUBE_ANO2011_VIEWS;24.05.2019;7051340.0;None;
YOUTUBE_ANO2011_VIEWS;25.05.2019;7055850.0;None;
YOUTUBE_ANO2011_VIEWS;26.05.2019;7059550.0;None;
YOUTUBE_ANO2011_VIEWS;27.05.2019;7063990.0;None;
YOUTUBE_ANO2011_VIEWS;28.05.2019;7068650.0;None;
YOUTUBE_ANO2011_VIEWS;29.05.2019;7073370.0;None;
YOUTUBE_ANO2011_VIEWS;30.05.2019;7078420.0;None;
YOUTUBE_ANO2011_VIEWS;31.05.2019;7083450.0;None;
YOUTUBE_ANO2011_VIEWS;01.06.2019;7088290.0;None;
YOUTUBE_ANO2011_VIEWS;02.06.2019;7092580.0;None;
YOUTUBE_ANO2011_VIEWS;03.06.2019;7098010.0;None;
YOUTUBE_ANO2011_VIEWS;04.06.2019;7103700.0;None;
YOUTUBE_ANO2011_VIEWS;05.06.2019;7112390.0;None;
YOUTUBE_ANO2011_VIEWS;06.06.2019;7121090.0;None;
YOUTUBE_ANO2011_VIEWS;07.06.2019;7128820.0;None;
YOUTUBE_ANO2011_VIEWS;08.06.2019;7140180.0;None;
YOUTUBE_ANO2011_VIEWS;09.06.2019;7152360.0;None;
YOUTUBE_ANO2011_VIEWS;10.06.2019;7163660.0;None;
YOUTUBE_ANO2011_VIEWS;11.06.2019;7176960.0;None;
YOUTUBE_ANO2011_VIEWS;12.06.2019;7189960.0;None;
YOUTUBE_ANO2011_VIEWS;13.06.2019;7199550.0;None;
YOUTUBE_ANO2011_VIEWS;14.06.2019;7213370.0;None;
YOUTUBE_ANO2011_VIEWS;15.06.2019;7222980.0;None;
YOUTUBE_ANO2011_VIEWS;16.06.2019;7231580.0;None;
YOUTUBE_ANO2011_VIEWS;17.06.2019;7238180.0;None;
YOUTUBE_ANO2011_VIEWS;18.06.2019;7244060.0;None;
YOUTUBE_ANO2011_VIEWS;19.06.2019;7250130.0;None;
YOUTUBE_ANO2011_VIEWS;20.06.2019;7254880.0;None;
YOUTUBE_ANO2011_VIEWS;21.06.2019;7257910.0;None;
YOUTUBE_ANO2011_VIEWS;22.06.2019;7260680.0;None;
YOUTUBE_ANO2011_VIEWS;23.06.2019;7263670.0;None;
YOUTUBE_ANO2011_VIEWS;24.06.2019;7266560.0;None;
YOUTUBE_ANO2011_VIEWS;25.06.2019;7269860.0;None;
YOUTUBE_ANO2011_VIEWS;26.06.2019;7273400.0;None;
YOUTUBE_ANO2011_VIEWS;27.06.2019;7278780.0;None;
YOUTUBE_ANO2011_VIEWS;28.06.2019;7283900.0;None;
YOUTUBE_ANO2011_VIEWS;29.06.2019;7288420.0;None;
YOUTUBE_ANO2011_VIEWS;30.06.2019;7292110.0;None;
YOUTUBE_ANO2011_VIEWS;01.07.2019;7294900.0;None;
YOUTUBE_ANO2011_VIEWS;02.07.2019;7297440.0;None;
YOUTUBE_ANO2011_VIEWS;03.07.2019;7299510.0;None;
YOUTUBE_ANO2011_VIEWS;04.07.2019;7301450.0;None;
YOUTUBE_ANO2011_VIEWS;05.07.2019;7303640.0;None;
YOUTUBE_ANO2011_VIEWS;06.07.2019;7305440.0;None;
YOUTUBE_ANO2011_VIEWS;07.07.2019;7308940.0;None;
YOUTUBE_ANO2011_VIEWS;08.07.2019;7311860.0;None;
YOUTUBE_ANO2011_VIEWS;09.07.2019;7314410.0;None;
YOUTUBE_ANO2011_VIEWS;10.07.2019;7316530.0;None;
YOUTUBE_ANO2011_VIEWS;11.07.2019;7320310.0;None;
YOUTUBE_ANO2011_VIEWS;12.07.2019;7323770.0;None;
YOUTUBE_ANO2011_VIEWS;13.07.2019;7326620.0;None;
YOUTUBE_ANO2011_VIEWS;14.07.2019;7329300.0;None;
YOUTUBE_ANO2011_VIEWS;15.07.2019;7331110.0;None;
YOUTUBE_ANO2011_VIEWS;16.07.2019;7333560.0;None;
YOUTUBE_ANO2011_VIEWS;17.07.2019;7336680.0;None;
YOUTUBE_ANO2011_VIEWS;18.07.2019;7339860.0;None;
YOUTUBE_ANO2011_VIEWS;19.07.2019;7342630.0;None;
