stat_id;date;value;method;
YOUTUBE_TOP09_VIEWS;05.02.2019;7719930.0;None;
YOUTUBE_TOP09_VIEWS;06.02.2019;7720380.0;None;
YOUTUBE_TOP09_VIEWS;07.02.2019;7720780.0;None;
YOUTUBE_TOP09_VIEWS;08.02.2019;7721120.0;None;
YOUTUBE_TOP09_VIEWS;09.02.2019;7721620.0;None;
YOUTUBE_TOP09_VIEWS;10.02.2019;7722100.0;None;
YOUTUBE_TOP09_VIEWS;11.02.2019;7722510.0;None;
YOUTUBE_TOP09_VIEWS;12.02.2019;7723100.0;None;
YOUTUBE_TOP09_VIEWS;13.02.2019;7723590.0;None;
YOUTUBE_TOP09_VIEWS;14.02.2019;7724000.0;None;
YOUTUBE_TOP09_VIEWS;15.02.2019;7724310.0;None;
YOUTUBE_TOP09_VIEWS;16.02.2019;7724650.0;None;
YOUTUBE_TOP09_VIEWS;17.02.2019;7725000.0;None;
YOUTUBE_TOP09_VIEWS;18.02.2019;7725300.0;None;
YOUTUBE_TOP09_VIEWS;19.02.2019;7725630.0;None;
YOUTUBE_TOP09_VIEWS;20.02.2019;7725970.0;None;
YOUTUBE_TOP09_VIEWS;21.02.2019;7726320.0;None;
YOUTUBE_TOP09_VIEWS;22.02.2019;7726700.0;None;
YOUTUBE_TOP09_VIEWS;23.02.2019;7727220.0;None;
YOUTUBE_TOP09_VIEWS;24.02.2019;7727620.0;None;
YOUTUBE_TOP09_VIEWS;25.02.2019;7727960.0;None;
YOUTUBE_TOP09_VIEWS;26.02.2019;7728360.0;None;
YOUTUBE_TOP09_VIEWS;27.02.2019;7728780.0;None;
YOUTUBE_TOP09_VIEWS;28.02.2019;7729140.0;None;
YOUTUBE_TOP09_VIEWS;01.03.2019;7729400.0;None;
YOUTUBE_TOP09_VIEWS;02.03.2019;7729910.0;None;
YOUTUBE_TOP09_VIEWS;03.03.2019;7730430.0;None;
YOUTUBE_TOP09_VIEWS;04.03.2019;7730860.0;None;
YOUTUBE_TOP09_VIEWS;05.03.2019;7731370.0;None;
YOUTUBE_TOP09_VIEWS;06.03.2019;7731870.0;None;
YOUTUBE_TOP09_VIEWS;07.03.2019;7732220.0;None;
YOUTUBE_TOP09_VIEWS;08.03.2019;7732690.0;None;
YOUTUBE_TOP09_VIEWS;09.03.2019;7733070.0;None;
YOUTUBE_TOP09_VIEWS;10.03.2019;7733490.0;None;
YOUTUBE_TOP09_VIEWS;11.03.2019;7733850.0;None;
YOUTUBE_TOP09_VIEWS;12.03.2019;7734320.0;None;
YOUTUBE_TOP09_VIEWS;13.03.2019;7734850.0;None;
YOUTUBE_TOP09_VIEWS;14.03.2019;7735290.0;None;
YOUTUBE_TOP09_VIEWS;15.03.2019;7735810.0;None;
YOUTUBE_TOP09_VIEWS;16.03.2019;7736360.0;None;
YOUTUBE_TOP09_VIEWS;17.03.2019;7736840.0;None;
YOUTUBE_TOP09_VIEWS;18.03.2019;7737240.0;None;
YOUTUBE_TOP09_VIEWS;19.03.2019;7737680.0;None;
YOUTUBE_TOP09_VIEWS;20.03.2019;7738210.0;None;
YOUTUBE_TOP09_VIEWS;21.03.2019;7738740.0;None;
